column,value,count,percent
provider_id,030002,1,0.12
provider_id,030006,1,0.12
provider_id,030007,1,0.12
provider_id,030010,1,0.12
provider_id,030011,1,0.12
provider_id,030012,1,0.12
provider_id,030014,1,0.12
provider_id,030016,1,0.12
provider_id,030022,1,0.12
provider_id,030024,1,0.12
hospital_name,Valley Hospital,2,0.24
hospital_name,St Mary Medical Center,2,0.24
hospital_name,Memorial Medical Center,2,0.24
hospital_name,Garnet Health Medical Center Catskills,2,0.24
hospital_name,Baylor Scott & White Hospital Brenham,2,0.24
hospital_name,Banner - University Medical Center Phoenix,1,0.12
hospital_name,Tucson Medical Center,1,0.12
hospital_name,Verde Valley Medical Center,1,0.12
hospital_name,St. Mary's Hospital,1,0.12
hospital_name,St Joseph's Hospital,1,0.12
address,700 Medical Parkway,2,0.24
address,1111 East McDowell Road,1,0.12
address,5301 East Grant Road,1,0.12
address,269 South Candy Lane,1,0.12
address,1601 West St Mary's Road,1,0.12
address,350 North Wilmot Road,1,0.12
address,1003 Willow Creek Road,1,0.12
address,250 East Dunlap Avenue,1,0.12
address,1800 East Florence Boulevard,1,0.12
address,2601 East Roosevelt Street,1,0.12
city,Houston,28,3.35
city,Phoenix,22,2.63
city,Philadelphia,21,2.51
city,Los Angeles,19,2.28
city,San Antonio,19,2.28
city,New York,16,1.92
city,Austin,15,1.8
city,San Francisco,13,1.56
city,Brooklyn,11,1.32
city,El Paso,11,1.32
state,CA,283,33.89
state,TX,177,21.2
state,NY,98,11.74
state,AZ,77,9.22
state,NJ,76,9.1
state,PA,62,7.43
state,CT,28,3.35
state,NC,22,2.63
state,NM,7,0.84
state,SC,5,0.6
phone_number,(415) 600-6000,2,0.24
phone_number,(248) 905-5091,2,0.24
phone_number,(704) 384-4000,2,0.24
phone_number,(979) 836-6173,2,0.24
phone_number,(512) 324-0000,2,0.24
phone_number,(602) 839-2000,1,0.12
phone_number,(520) 324-1399,1,0.12
phone_number,(928) 773-2357,1,0.12
phone_number,(520) 872-3000,1,0.12
phone_number,(520) 873-3000,1,0.12
hospital_type,Acute Care Hospitals,612,73.29
hospital_type,Psychiatric,135,16.17
hospital_type,Critical Access Hospitals,38,4.55
hospital_type,Childrens,23,2.75
hospital_type,Acute Care - Veterans Administration,20,2.4
hospital_type,Acute Care - Department of Defense,5,0.6
hospital_type,Long-term,2,0.24
emergency_services,Yes,621,74.37
emergency_services,No,214,25.63
overall_rating_raw,,239,28.62
overall_rating_raw,4 stars,173,20.72
overall_rating_raw,3 stars,160,19.16
overall_rating_raw,2 stars,126,15.09
overall_rating_raw,5 stars,92,11.02
overall_rating_raw,1 stars,45,5.39
patient_survey_rating_raw,3 stars,280,33.53
patient_survey_rating_raw,,239,28.62
patient_survey_rating_raw,2 stars,159,19.04
patient_survey_rating_raw,4 stars,115,13.77
patient_survey_rating_raw,1 stars,28,3.35
patient_survey_rating_raw,5 stars,14,1.68
quality_categories,Timely & effective care | Complications & deaths | Unplanned hospital visits | Maternal health | Patient-reported outcomes | Psychiatric unit services | Payment,835,100.0
quality_section_text,Quality,835,100.0
all_star_rating_labels,,239,28.62
all_star_rating_labels,4 stars | 3 stars | 4 stars | 3 stars,99,11.86
all_star_rating_labels,3 stars | 3 stars | 3 stars | 3 stars,81,9.7
all_star_rating_labels,2 stars | 2 stars | 2 stars | 2 stars,61,7.31
all_star_rating_labels,3 stars | 2 stars | 3 stars | 2 stars,49,5.87
all_star_rating_labels,2 stars | 3 stars | 2 stars | 3 stars,46,5.51
all_star_rating_labels,5 stars | 4 stars | 5 stars | 4 stars,41,4.91
all_star_rating_labels,5 stars | 3 stars | 5 stars | 3 stars,38,4.55
all_star_rating_labels,4 stars | 4 stars | 4 stars | 4 stars,38,4.55
all_star_rating_labels,1 stars | 2 stars | 1 stars | 2 stars,22,2.63
data_last_updated,"May 13, 2026",835,100.0
profile_url,https://www.medicare.gov/care-compare/details/hospital/030002?city=Phoenix&state=AZ&zipcode=,1,0.12
