column,unique_values,missing_count,most_frequent_value,most_frequent_count
provider_id,835,0,030002,1
hospital_name,830,0,Baylor Scott & White Hospital Brenham,2
address,834,0,700 Medical Parkway,2
city,452,0,Houston,28
state,10,0,CA,283
phone_number,830,0,(248) 905-5091,2
hospital_type,7,0,Acute Care Hospitals,612
emergency_services,2,0,Yes,621
overall_rating_raw,5,239,4 stars,173
patient_survey_rating_raw,5,239,3 stars,280
quality_categories,1,0,Timely & effective care | Complications & deaths | Unplanned hospital visits | Maternal health | Patient-reported outcomes | Psychiatric unit services | Payment,835
quality_section_text,1,0,Quality,835
all_star_rating_labels,26,239,4 stars | 3 stars | 4 stars | 3 stars,99
data_last_updated,1,0,"May 13, 2026",835
profile_url,835,0,https://www.medicare.gov/care-compare/details/hospital/030002?city=Phoenix&state=AZ&zipcode=,1
scraped_at,835,0,2026-07-29T16:19:55.674705+00:00,1
scraping_status,1,0,success,835
hospital_ownership,12,0,Voluntary non-profit - Private,361
county,140,0,LOS ANGELES,88
birthing_friendly,1,428,Y,407
mort_group_measure_count,2,0,8,664
facility_mort_measures,9,0,Not Available,216
mort_better,10,0,0,442
mort_no_different,10,0,Not Available,216
mort_worse,6,0,0,577
safety_group_measure_count,2,0,8,664
facility_safety_measures,9,0,Not Available,232
safety_better,8,0,Not Available,232
safety_no_different,10,0,Not Available,232
safety_worse,4,0,0,542
readm_group_measure_count,2,0,11,664
facility_readm_measures,12,0,Not Available,204
readm_better,8,0,0,390
readm_no_different,13,0,Not Available,204
readm_worse,7,0,Not Available,204
patient_exp_group_measure_count,2,0,15,664
facility_patient_exp_measures,4,0,15,527
te_group_measure_count,2,0,10,664
facility_te_measures,11,0,Not Available,176
