column,dtype,non_null_count,missing_count,missing_percent,unique_count,is_constant
provider_id,str,835,0,0.0,835,False
hospital_name,str,835,0,0.0,830,False
address,str,835,0,0.0,834,False
city,str,835,0,0.0,452,False
state,str,835,0,0.0,10,False
zip_code,int64,835,0,0.0,678,False
phone_number,str,835,0,0.0,830,False
hospital_type,str,835,0,0.0,7,False
emergency_services,str,835,0,0.0,2,False
overall_rating,float64,596,239,28.62,5,False
overall_rating_raw,str,596,239,28.62,5,False
patient_survey_rating,float64,596,239,28.62,5,False
patient_survey_rating_raw,str,596,239,28.62,5,False
affiliated_clinicians,float64,651,184,22.04,512,False
quality_categories,str,835,0,0.0,1,True
quality_section_text,str,835,0,0.0,1,True
all_star_rating_labels,str,596,239,28.62,26,False
data_last_updated,str,835,0,0.0,1,True
profile_url,str,835,0,0.0,835,False
scraped_at,str,835,0,0.0,835,False
scraping_status,str,835,0,0.0,1,True
scraping_error,float64,0,835,100.0,0,True
timely_and_effective_care_text,float64,0,835,100.0,0,True
complications_and_deaths_text,float64,0,835,100.0,0,True
unplanned_hospital_visits_text,float64,0,835,100.0,0,True
maternal_health_text,float64,0,835,100.0,0,True
patient_reported_outcomes_text,float64,0,835,100.0,0,True
psychiatric_unit_services_text,float64,0,835,100.0,0,True
payment_text,float64,0,835,100.0,0,True
hospital_ownership,str,835,0,0.0,12,False
county,str,835,0,0.0,140,False
birthing_friendly,str,407,428,51.26,1,True
mort_group_measure_count,str,835,0,0.0,2,False
facility_mort_measures,str,835,0,0.0,9,False
mort_better,str,835,0,0.0,10,False
mort_no_different,str,835,0,0.0,10,False
mort_worse,str,835,0,0.0,6,False
safety_group_measure_count,str,835,0,0.0,2,False
facility_safety_measures,str,835,0,0.0,9,False
safety_better,str,835,0,0.0,8,False
safety_no_different,str,835,0,0.0,10,False
safety_worse,str,835,0,0.0,4,False
readm_group_measure_count,str,835,0,0.0,2,False
facility_readm_measures,str,835,0,0.0,12,False
readm_better,str,835,0,0.0,8,False
readm_no_different,str,835,0,0.0,13,False
readm_worse,str,835,0,0.0,7,False
patient_exp_group_measure_count,str,835,0,0.0,2,False
facility_patient_exp_measures,str,835,0,0.0,4,False
te_group_measure_count,str,835,0,0.0,2,False
facility_te_measures,str,835,0,0.0,11,False
