feature,count,mean,std,min,25%,50%,75%,max,median,variance,missing_count,missing_percent
overall_rating,596.0,3.2365771812080535,1.1693872685936921,1.0,2.0,3.0,4.0,5.0,3.0,1.3674665839490159,239,28.622754491017965
patient_survey_rating,596.0,2.879194630872483,0.8533690163238551,1.0,2.0,3.0,3.0,5.0,3.0,0.7282386780215441,239,28.622754491017965
affiliated_clinicians,651.0,579.9078341013825,666.9206785610853,3.0,170.5,370.0,739.0,5431.0,370.0,444783.19149237854,184,22.035928143712574
mort_group_measure_count,664.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,171,20.479041916167663
facility_mort_measures,619.0,5.718901453957997,2.2808790295039527,1.0,4.0,7.0,8.0,8.0,7.0,5.2024091472308935,216,25.868263473053894
mort_better,619.0,0.6284329563812601,1.2362771523241547,0.0,0.0,0.0,1.0,8.0,0.0,1.5283811973587211,216,25.868263473053894
mort_no_different,619.0,5.0016155088852985,2.1136780564601194,0.0,3.0,5.0,7.0,8.0,5.0,4.467634926361027,216,25.868263473053894
mort_worse,619.0,0.0888529886914378,0.3818560650356148,0.0,0.0,0.0,0.0,5.0,0.0,0.1458140544044837,216,25.868263473053894
safety_group_measure_count,664.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,171,20.479041916167663
facility_safety_measures,603.0,5.615257048092869,2.068888203183456,1.0,4.0,6.0,7.0,8.0,6.0,4.28029839727167,232,27.784431137724553
safety_better,603.0,1.4129353233830846,1.256332203457564,0.0,0.0,1.0,2.0,6.0,1.0,1.5783706054445379,232,27.784431137724553
safety_no_different,603.0,4.096185737976783,1.5808347742203475,0.0,3.0,4.0,5.0,8.0,4.0,2.499038583384297,232,27.784431137724553
safety_worse,603.0,0.10613598673300166,0.3240301061878245,0.0,0.0,0.0,0.0,2.0,0.0,0.10499550971609284,232,27.784431137724553
readm_group_measure_count,664.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,171,20.479041916167663
facility_readm_measures,631.0,7.028526148969889,3.0309217334787575,1.0,5.0,7.0,10.0,11.0,7.0,9.186486554473877,204,24.431137724550897
readm_better,631.0,0.5388272583201268,0.8459039798516262,0.0,0.0,0.0,1.0,8.0,0.0,0.7155535431288205,204,24.431137724550897
readm_no_different,631.0,5.248811410459588,2.464972587038996,0.0,3.0,5.0,7.0,11.0,5.0,6.076089854853722,204,24.431137724550897
readm_worse,631.0,1.2408874801901744,1.1292539347834738,0.0,0.0,1.0,2.0,6.0,1.0,1.2752144492239579,204,24.431137724550897
patient_exp_group_measure_count,664.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,171,20.479041916167663
facility_patient_exp_measures,600.0,14.183333333333334,2.3471053935510184,5.0,15.0,15.0,15.0,15.0,15.0,5.508903728436282,235,28.143712574850298
te_group_measure_count,664.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,171,20.479041916167663
facility_te_measures,659.0,6.952959028831563,2.16687613238294,1.0,6.0,8.0,8.0,10.0,8.0,4.695352173090848,176,21.077844311377245
total_better_measures,634.0,2.493690851735016,2.5470221634522168,0.0,1.0,2.0,3.0,21.0,2.0,6.48732190111681,201,24.07185628742515
total_worse_measures,634.0,1.4227129337539433,1.3270267123708859,0.0,0.0,1.0,2.0,7.0,1.0,1.7609998953458819,201,24.07185628742515
quality_balance_score,634.0,1.0709779179810726,2.5647402529442305,-6.0,-0.75,1.0,2.0,18.0,1.0,6.577892565072436,201,24.07185628742515
better_measure_ratio,634.0,0.12460283371157041,0.11327682113836364,0.0,0.0476190476190476,0.1111111111111111,0.18048128342245986,1.0,0.1111111111111111,0.012831638207212828,201,24.07185628742515
worse_measure_ratio,634.0,0.07345090148103998,0.06623434401949985,0.0,0.0,0.0714285714285714,0.1153846153846153,0.3529411764705882,0.0714285714285714,0.0043869883276934545,201,24.07185628742515
quality_coverage,660.0,37.05,13.44168261650952,1.0,30.0,42.0,48.0,52.0,42.0,180.6788315629742,175,20.958083832335326
