feature_1,feature_2,correlation,absolute_correlation
readm_worse,total_worse_measures,0.923687648028003,0.923687648028003
total_better_measures,quality_balance_score,0.8652354099545349,0.8652354099545349
total_worse_measures,worse_measure_ratio,0.8611916553973797,0.8611916553973797
total_better_measures,better_measure_ratio,0.8377069953324002,0.8377069953324002
mort_better,total_better_measures,0.8129352339889464,0.8129352339889464
readm_worse,worse_measure_ratio,0.8079016050301827,0.8079016050301827
quality_balance_score,better_measure_ratio,0.795090069953894,0.795090069953894
safety_better,total_better_measures,0.7748647654783999,0.7748647654783999
affiliated_clinicians,total_better_measures,0.7651508300636641,0.7651508300636641
readm_better,quality_balance_score,0.7116443623112929,0.7116443623112929
mort_better,better_measure_ratio,0.6997531123908448,0.6997531123908448
mort_better,quality_balance_score,0.6922468350839053,0.6922468350839053
affiliated_clinicians,mort_better,0.6731943932256026,0.6731943932256026
readm_better,better_measure_ratio,0.6658539579686763,0.6658539579686763
readm_better,total_better_measures,0.6656642314448351,0.6656642314448351
safety_better,better_measure_ratio,0.6465824777929143,0.6465824777929143
overall_rating,patient_survey_rating,0.614781220431929,0.614781220431929
safety_better,quality_balance_score,0.5975636202784491,0.5975636202784491
affiliated_clinicians,quality_balance_score,0.5888554177874005,0.5888554177874005
affiliated_clinicians,safety_better,0.5696036210209696,0.5696036210209696
safety_better,quality_coverage,0.5630625916884788,0.5630625916884788
affiliated_clinicians,better_measure_ratio,0.5534767745621343,0.5534767745621343
total_better_measures,quality_coverage,0.5464897446280345,0.5464897446280345
overall_rating,quality_balance_score,0.5451458503860677,0.5451458503860677
affiliated_clinicians,quality_coverage,0.5247144376405843,0.5247144376405843
total_worse_measures,quality_coverage,0.48169518989213,0.48169518989213
affiliated_clinicians,readm_better,0.47748809001878717,0.47748809001878717
readm_worse,quality_coverage,0.463342113154301,0.463342113154301
mort_worse,total_worse_measures,0.4283529653350863,0.4283529653350863
quality_balance_score,worse_measure_ratio,-0.41732907413633424,0.41732907413633424
overall_rating,total_better_measures,0.41183281627113055,0.41183281627113055
overall_rating,better_measure_ratio,0.410554314366911,0.410554314366911
overall_rating,mort_better,0.4036625592723819,0.4036625592723819
mort_better,readm_better,0.3974620423674472,0.3974620423674472
mort_better,safety_better,0.3883192788565557,0.3883192788565557
overall_rating,readm_better,0.3876466099331343,0.3876466099331343
safety_worse,total_worse_measures,0.3797231625068392,0.3797231625068392
overall_rating,affiliated_clinicians,0.37142503960730694,0.37142503960730694
overall_rating,worse_measure_ratio,-0.36293849233378384,0.36293849233378384
safety_worse,worse_measure_ratio,0.3383975685737766,0.3383975685737766
mort_better,quality_coverage,0.33737813687074636,0.33737813687074636
affiliated_clinicians,total_worse_measures,0.3356106018013379,0.3356106018013379
mort_worse,worse_measure_ratio,0.3276531206172071,0.3276531206172071
affiliated_clinicians,readm_worse,0.32724966129838756,0.32724966129838756
safety_better,total_worse_measures,0.3183279344293941,0.3183279344293941
safety_better,readm_worse,0.3050315382651854,0.3050315382651854
quality_balance_score,quality_coverage,0.2934796639135098,0.2934796639135098
overall_rating,total_worse_measures,-0.29103390714779803,0.29103390714779803
better_measure_ratio,quality_coverage,0.28778622957351624,0.28778622957351624
readm_better,quality_coverage,0.282983284767106,0.282983284767106
safety_better,readm_better,0.2796093239596408,0.2796093239596408
total_worse_measures,quality_balance_score,-0.2720114703203367,0.2720114703203367
total_better_measures,total_worse_measures,0.2471073688360468,0.2471073688360468
overall_rating,readm_worse,-0.2425855035786941,0.2425855035786941
readm_worse,total_better_measures,0.2413348682217634,0.2413348682217634
mort_better,readm_worse,0.24039085702246837,0.24039085702246837
