class,state,group_size,small_group_flag,accuracy,selection_rate,true_positive_rate,false_positive_rate,overall_demographic_parity_difference,overall_equalized_odds_difference
High,AZ,8,True,0.875,0.125,0.5,0.0,0.475,0.5
High,CA,40,False,0.75,0.5,0.75,0.25,0.475,0.5
High,CT,2,True,1.0,0.5,1.0,0.0,0.475,0.5
High,NC,5,True,0.8,0.6,0.75,0.0,0.475,0.5
High,NJ,15,False,0.7333333333333333,0.6,1.0,0.4,0.475,0.5
High,NY,15,False,0.9333333333333333,0.4,1.0,0.1,0.475,0.5
High,PA,8,True,0.875,0.5,1.0,0.2,0.475,0.5
High,TX,27,False,0.7407407407407407,0.4444444444444444,0.6923076923076923,0.21428571428571427,0.475,0.5
Low,AZ,8,True,0.875,0.375,1.0,0.16666666666666666,0.5333333333333333,1.0
Low,CA,40,False,0.725,0.475,0.9,0.3333333333333333,0.5333333333333333,1.0
Low,CT,2,True,1.0,0.0,,0.0,0.5333333333333333,1.0
Low,NC,5,True,1.0,0.2,1.0,0.0,0.5333333333333333,1.0
Low,NJ,15,False,0.9333333333333333,0.3333333333333333,1.0,0.09090909090909091,0.5333333333333333,1.0
Low,NY,15,False,1.0,0.5333333333333333,1.0,0.0,0.5333333333333333,1.0
Low,PA,8,True,0.75,0.375,0.6,0.0,0.5333333333333333,1.0
Low,TX,27,False,0.7777777777777778,0.1111111111111111,0.2,0.09090909090909091,0.5333333333333333,1.0
Medium,AZ,8,True,0.75,0.5,0.75,0.25,0.475,1.0
Medium,CA,40,False,0.725,0.025,0.0,0.03333333333333333,0.475,1.0
Medium,CT,2,True,1.0,0.5,1.0,0.0,0.475,1.0
Medium,NC,5,True,0.8,0.2,,0.2,0.475,1.0
Medium,NJ,15,False,0.6666666666666666,0.06666666666666667,0.16666666666666666,0.0,0.475,1.0
Medium,NY,15,False,0.9333333333333333,0.06666666666666667,0.5,0.0,0.475,1.0
Medium,PA,8,True,0.875,0.125,,0.125,0.475,1.0
Medium,TX,27,False,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.475,1.0
