state,actual_rating,predicted_rating
CA,High,High
NJ,High,High
TX,Low,Low
TX,Medium,Medium
CA,Low,Low
AZ,Medium,Medium
TX,High,High
CA,Medium,High
TX,Medium,High
NY,Low,Low
PA,High,High
NC,High,Medium
NC,High,High
TX,High,High
NY,High,High
NC,High,High
CA,Medium,Low
PA,Low,Medium
NJ,High,High
PA,Low,Low
CA,High,High
CA,High,High
NJ,Medium,Low
TX,Medium,Medium
NJ,Low,Low
TX,Medium,Medium
CA,Medium,Low
NJ,High,High
CA,High,Low
NJ,Low,Low
CA,Medium,Low
NY,High,High
NY,Low,Low
CA,High,High
AZ,Low,Low
CA,High,High
TX,Medium,Medium
CA,Medium,High
CA,Low,High
CA,Low,Low
TX,High,High
TX,High,High
CA,High,High
NY,High,High
NJ,Medium,High
TX,High,High
CA,High,High
CA,High,High
NJ,Medium,Medium
CA,Low,Low
CA,Low,Low
CA,High,High
NY,Low,Low
TX,High,High
NC,Low,Low
TX,Medium,Medium
NJ,Medium,High
NJ,Low,Low
CA,High,Low
CA,High,Low
CA,Low,Low
CA,High,High
CA,Low,Low
NY,Medium,Medium
PA,Low,High
AZ,High,High
CA,Low,Low
CA,Low,Low
NY,Low,Low
TX,Low,Medium
AZ,Low,Low
PA,Low,Low
CA,Low,Low
CA,Medium,Low
TX,High,Medium
AZ,Medium,Medium
NY,High,High
CA,Medium,High
CA,Medium,High
NJ,High,High
NJ,High,High
TX,Low,High
TX,High,Low
CA,High,High
CA,High,Medium
NC,High,High
TX,Medium,Medium
AZ,High,Medium
TX,High,High
NY,Low,Low
NJ,Low,Low
TX,Medium,Low
NY,Low,Low
AZ,Medium,Low
NY,Low,Low
TX,Low,Medium
TX,High,Medium
CA,Medium,Low
NY,High,High
PA,High,High
NJ,Medium,High
CT,High,High
CA,High,High
PA,Low,Low
TX,High,High
CA,High,Low
NY,Medium,High
TX,Low,Medium
TX,High,High
CA,High,High
NY,Low,Low
TX,Medium,High
CA,High,High
CA,High,High
NJ,Medium,High
TX,High,Medium
CA,Medium,Low
CT,Medium,Medium
AZ,Medium,Medium
PA,High,High
