class,rank,feature_name,mean_absolute_shap
High,1,num__patient_survey_rating,1.009598549523297
High,2,num__total_worse_measures,0.3430287685783802
High,3,num__mort_no_different,0.3409504367692396
High,4,num__quality_balance_score,0.33037516967185715
High,5,num__mort_better,0.3030733025909284
High,6,num__readm_worse,0.2865630658844707
High,7,num__mort_worse,0.2690090442392604
High,8,num__worse_measure_ratio,0.25757593102130033
High,9,num__readm_better,0.2439185805778878
High,10,num__total_better_measures,0.19466692719217246
High,11,num__safety_worse,0.19255085309582043
High,12,num__facility_safety_measures,0.18185713155822353
High,13,num__affiliated_clinicians,0.18036879362020958
High,14,cat__hospital_size_category_Large,0.14098554508029928
High,15,cat__state_NJ,0.11445950131900402
High,16,cat__hospital_size_category_Small,0.11257625794844595
High,17,num__readm_no_different,0.11123122509205617
High,18,cat__hospital_ownership_Voluntary non-profit - Church,0.10947095271170211
High,19,num__safety_better,0.10882522580039725
High,20,num__facility_mort_measures,0.10879196426023971
Low,1,num__patient_survey_rating,0.855968004136612
Low,2,num__mort_better,0.34740003437583317
Low,3,num__quality_coverage,0.3386573482431036
Low,4,num__quality_balance_score,0.28403887815534923
Low,5,num__total_worse_measures,0.2626709764738437
Low,6,num__mort_no_different,0.25022887346175976
Low,7,num__better_measure_ratio,0.20872196930261758
Low,8,cat__hospital_ownership_Voluntary non-profit - Private,0.1878804760438655
Low,9,num__total_better_measures,0.1833836827386295
Low,10,num__mort_worse,0.16338675030507002
Low,11,num__affiliated_clinicians,0.15323433099250855
Low,12,num__readm_worse,0.15105871805785234
Low,13,num__readm_no_different,0.15035723282243357
Low,14,cat__hospital_size_category_Large,0.14012906647543846
Low,15,num__safety_worse,0.13786353033443172
Low,16,num__safety_no_different,0.13556926536588476
Low,17,cat__state_CA,0.11992403820432194
Low,18,cat__state_TX,0.11280509044763093
Low,19,cat__hospital_size_category_Medium,0.10657459822199138
Low,20,num__facility_readm_measures,0.10290429629840168
Medium,1,num__quality_coverage,0.2447331701560465
Medium,2,num__better_measure_ratio,0.22777249511373113
Medium,3,num__worse_measure_ratio,0.22538922447476467
Medium,4,num__readm_better,0.21805471387761013
Medium,5,num__patient_survey_rating,0.15363054538668638
Medium,6,num__facility_safety_measures,0.1428814959956578
Medium,7,num__readm_worse,0.1355043478266186
Medium,8,num__facility_te_measures,0.12799969216932217
Medium,9,cat__hospital_ownership_Voluntary non-profit - Private,0.12435903214767305
Medium,10,cat__state_CA,0.1192327500082933
Medium,11,num__mort_worse,0.10562229393419095
Medium,12,num__facility_mort_measures,0.09102525037617173
Medium,13,num__mort_no_different,0.09072156330747892
Medium,14,num__facility_patient_exp_measures,0.08180546207341301
Medium,15,num__total_worse_measures,0.08035779210453747
Medium,16,cat__hospital_ownership_Proprietary,0.0779176409958174
Medium,17,cat__state_TX,0.0728937174652238
Medium,18,cat__hospital_size_category_Medium,0.06755365124498344
Medium,19,num__safety_better,0.057491983663154875
Medium,20,cat__state_NJ,0.05518809290924826
