rank,feature_name,mean_absolute_shap
1,num__patient_survey_rating,0.6730656996821993
2,num__mort_better,0.2316000229172224
3,num__total_worse_measures,0.22868584571892037
4,num__mort_no_different,0.22730029117949282
5,num__quality_coverage,0.22577156549540206
6,num__quality_balance_score,0.22025011311457152
7,num__readm_worse,0.19104204392298058
8,num__mort_worse,0.1793393628261737
9,num__worse_measure_ratio,0.17171728734753386
10,num__readm_better,0.16261238705192524
11,num__better_measure_ratio,0.15184833007581997
12,num__total_better_measures,0.12977795146144802
13,num__safety_worse,0.12836723539721384
14,cat__hospital_ownership_Voluntary non-profit - Private,0.1252536506959105
15,num__facility_safety_measures,0.12123808770548196
16,num__affiliated_clinicians,0.12024586241347289
17,num__readm_no_different,0.10023815521495637
18,cat__hospital_size_category_Large,0.09399036338686625
19,num__safety_no_different,0.0903795102439225
20,num__facility_te_measures,0.08533312811288167
21,cat__state_CA,0.07994935880288133
22,cat__state_NJ,0.07630633421266925
23,cat__state_TX,0.07520339363175432
24,cat__hospital_size_category_Small,0.07505083863229743
25,cat__hospital_ownership_Voluntary non-profit - Church,0.0729806351411348
26,num__safety_better,0.072550150533598
27,num__facility_mort_measures,0.07252797617349359
28,cat__hospital_size_category_Medium,0.07104973214799425
29,num__facility_readm_measures,0.06860286419893494
30,num__facility_patient_exp_measures,0.05453697471560875
31,cat__hospital_ownership_Proprietary,0.0519450939972116
32,cat__state_NY,0.04766131587970435
33,cat__hospital_ownership_Government - Hospital District or Authority,0.04678427097034039
34,cat__hospital_ownership_Government - Local,0.04041163661492228
35,cat__county_HARRIS,0.03948542086736346
36,cat__county_LOS ANGELES,0.03451472439475893
37,cat__county_ORANGE,0.03119417362098822
38,cat__hospital_ownership_Voluntary non-profit - Other,0.021527278609947215
39,cat__county_SAN BERNARDINO,0.020644898745294474
40,cat__city_Mesa,0.019213680422646543
41,cat__city_Brooklyn,0.018285001415503696
42,cat__county_KINGS,0.018285001415503696
43,cat__state_AZ,0.01785166083437608
44,cat__county_MARICOPA,0.01657689733616133
45,cat__county_RIVERSIDE,0.01494394040618918
46,cat__county_ALAMEDA,0.01466631316230573
47,cat__county_HUDSON,0.014084096522813354
48,cat__state_PA,0.012624105501356262
49,cat__state_NC,0.011970260886481295
50,cat__state_CT,0.01183162237121868
51,cat__city_Houston,0.011385279251783408
52,cat__county_SACRAMENTO,0.0110357552686562
53,cat__hospital_type_Acute Care Hospitals,0.009987439449372418
54,cat__city_Los Angeles,0.009754245223328541
55,cat__emergency_services_No,0.009691123762510436
56,cat__state_NM,0.009547412604749155
57,cat__city_Phoenix,0.009466048757942694
58,cat__hospital_size_category_Unknown,0.009334569918742826
59,cat__emergency_services_Yes,0.00894604995876979
60,cat__county_TRAVIS,0.008561615227709655
61,cat__county_HARTFORD,0.008043263588750134
62,cat__hospital_type_Critical Access Hospitals,0.007895747838320588
63,cat__county_FAIRFIELD,0.007489481393188902
64,cat__city_Glendale,0.007445457435367309
65,cat__city_Austin,0.00742006653068171
66,cat__county_BRAZOS,0.007027468773966931
67,cat__hospital_ownership_Veterans Health Administration,0.0069957393161181654
68,cat__hospital_type_Acute Care - Veterans Administration,0.0069957393161181654
69,cat__county_SUFFOLK,0.0067331407049361705
70,cat__county_UNION,0.006459501421143184
71,cat__state_SC,0.006440196540701136
72,cat__county_PHILADELPHIA,0.006193835296248012
73,cat__city_Philadelphia,0.006193835296248012
74,cat__county_NASSAU,0.006158893662202125
75,cat__county_JEFFERSON,0.005949687506505429
76,cat__county_SAN MATEO,0.0058516223004983405
77,cat__city_San Antonio,0.005833638266724374
78,cat__city_Murrieta,0.005811527849909951
79,cat__county_OCEAN,0.0057469098642424915
80,cat__county_NAPA,0.005318324493143361
81,cat__county_MONMOUTH,0.005238934490370398
82,cat__city_San Bernardino,0.005209474550187166
83,cat__city_Jersey City,0.005157871266805128
84,cat__county_BEXAR,0.005130123686921302
85,cat__county_COLORADO,0.004793636210280933
86,cat__city_Columbus,0.004793636210280933
87,cat__city_Chino,0.0047064405379022576
88,cat__county_MIDDLESEX,0.004691361526004675
89,cat__county_MARIN,0.004649632018463358
90,cat__county_PIMA,0.004539527966510529
91,cat__county_NEW HAVEN,0.004529251559969558
92,cat__city_Petaluma,0.004477228347584956
93,cat__city_Montclair,0.00426658515544144
94,cat__city_Bryan,0.00398847909482734
95,cat__county_MERCER,0.003963370736618633
96,cat__city_LA Palma,0.0038399031317711673
97,cat__city_Beaumont,0.0038069203204441175
98,cat__county_BUCKS,0.0037436238193492817
99,cat__hospital_ownership_Government - State,0.003675587757802992
100,cat__county_SANTA CLARA,0.0036695490660604876
101,cat__county_SAN JOAQUIN,0.0035993781107949985
102,cat__city_Rahway,0.0035834139950309176
103,cat__county_CHEROKEE,0.003567591701229712
104,cat__city_Gaffney,0.003567591701229712
105,cat__county_QUEENS,0.003555823827342502
106,cat__city_San Francisco,0.003542235577720408
107,cat__county_SAN FRANCISCO,0.003542235577720408
108,cat__city_Waterbury,0.0035328219024022057
109,cat__city_Scranton,0.00346850996806089
110,cat__county_ROWAN,0.00344925044903167
111,cat__city_Salisbury,0.00344925044903167
112,cat__county_LACKAWANNA,0.0034476174970546076
113,cat__county_WESTCHESTER,0.003376745491361279
114,cat__county_STANISLAUS,0.0033236093571095593
115,cat__city_Stockton,0.0032956592836160337
116,cat__city_Mather,0.003229701771828458
117,cat__city_Sun City,0.003210325848306052
118,cat__city_Carmichael,0.0031667184080341015
119,cat__hospital_ownership_Physician,0.003152891763565925
120,cat__city_Carmel,0.003123391794719494
121,cat__county_PUTNAM,0.003123391794719494
122,cat__county_ESSEX,0.0031045215999491245
123,cat__city_Pasadena,0.003025987863486807
124,cat__city_Chandler,0.0029887634580722665
125,cat__county_FORT BEND,0.0029612027284765235
126,cat__city_Saint Helena,0.002927518069620188
127,cat__city_Alhambra,0.0028815912812016164
128,cat__county_CONTRA COSTA,0.0028333366935344327
129,cat__city_New Brunswick,0.0028321994028012937
130,cat__county_VENTURA,0.002774742684362387
131,cat__city_Norwalk,0.0027637087782828485
132,cat__city_Deming,0.002758646635641846
133,cat__county_LUNA,0.002758646635641846
134,cat__city_Downey,0.0027479901840420764
135,cat__county_BRAZORIA,0.0027356219428542584
136,cat__city_Danbury,0.0026763744363192212
137,cat__city_San Jose,0.002653846495541235
138,cat__county_WILLIAMSON,0.0026527923825426796
139,cat__county_BURLINGTON,0.002624494739774222
140,cat__county_MATAGORDA,0.0025237490595017005
141,cat__city_Bay City,0.0025237490595017005
142,cat__city_Pearland,0.0023306980718799586
143,cat__county_DONA ANA,0.002306802192560568
144,cat__city_Las Cruces,0.002306802192560568
145,cat__city_Salinas,0.0023063709315880743
146,cat__city_Charlotte,0.002196905857804069
147,cat__county_LINCOLN,0.002183505285296046
148,cat__city_Lincolnton,0.002183505285296046
149,cat__city_Anaheim,0.0021520221571700187
150,cat__city_Cedar Park,0.002139391682403883
151,cat__city_East Stroudsburg,0.002131686058158872
152,cat__county_BERGEN,0.002095703992656098
153,cat__county_HAYS,0.002010002409225398
154,cat__city_Modesto,0.002003830093496112
155,cat__city_Nyack,0.001934975718909582
156,cat__city_Loma Linda,0.001892290907267022
157,cat__county_ROCKLAND,0.0018874412562615045
158,cat__city_Scottsdale,0.0018853443627106765
159,cat__city_Atlantic City,0.001843348314996649
