feature_name,feature_type
patient_survey_rating,numeric
affiliated_clinicians,numeric
mort_group_measure_count,numeric
facility_mort_measures,numeric
mort_better,numeric
mort_no_different,numeric
mort_worse,numeric
safety_group_measure_count,numeric
facility_safety_measures,numeric
safety_better,numeric
safety_no_different,numeric
safety_worse,numeric
readm_group_measure_count,numeric
facility_readm_measures,numeric
readm_better,numeric
readm_no_different,numeric
readm_worse,numeric
patient_exp_group_measure_count,numeric
facility_patient_exp_measures,numeric
te_group_measure_count,numeric
facility_te_measures,numeric
total_better_measures,numeric
total_worse_measures,numeric
quality_balance_score,numeric
better_measure_ratio,numeric
worse_measure_ratio,numeric
quality_coverage,numeric
city,categorical
state,categorical
hospital_type,categorical
emergency_services,categorical
hospital_ownership,categorical
county,categorical
hospital_size_category,categorical
