column,missing_count,missing_percent
patient_survey_rating_raw,239,28.62
overall_rating,239,28.62
all_star_rating_labels,239,28.62
patient_survey_rating,239,28.62
overall_rating_raw,239,28.62
facility_patient_exp_measures,235,28.14
facility_safety_measures,232,27.78
safety_worse,232,27.78
safety_better,232,27.78
safety_no_different,232,27.78
mort_no_different,216,25.87
mort_better,216,25.87
facility_mort_measures,216,25.87
mort_worse,216,25.87
facility_readm_measures,204,24.43
readm_no_different,204,24.43
readm_better,204,24.43
readm_worse,204,24.43
affiliated_clinicians,184,22.04
facility_te_measures,176,21.08
readm_group_measure_count,171,20.48
patient_exp_group_measure_count,171,20.48
safety_group_measure_count,171,20.48
te_group_measure_count,171,20.48
mort_group_measure_count,171,20.48
state,0,0.0
zip_code,0,0.0
address,0,0.0
hospital_name,0,0.0
provider_id,0,0.0
city,0,0.0
phone_number,0,0.0
county,0,0.0
scraped_at,0,0.0
profile_url,0,0.0
data_last_updated,0,0.0
emergency_services,0,0.0
hospital_type,0,0.0
hospital_ownership,0,0.0
