column,unique_values
unplanned_hospital_visits_text,0
maternal_health_text,0
patient_reported_outcomes_text,0
psychiatric_unit_services_text,0
payment_text,0
scraping_error,0
complications_and_deaths_text,0
timely_and_effective_care_text,0
quality_section_text,1
quality_categories,1
birthing_friendly,1
data_last_updated,1
scraping_status,1
emergency_services,2
safety_group_measure_count,2
mort_group_measure_count,2
readm_group_measure_count,2
patient_exp_group_measure_count,2
te_group_measure_count,2
safety_worse,4
facility_patient_exp_measures,4
patient_survey_rating_raw,5
overall_rating_raw,5
overall_rating,5
patient_survey_rating,5
mort_worse,6
hospital_type,7
readm_worse,7
safety_better,8
readm_better,8
facility_mort_measures,9
facility_safety_measures,9
state,10
safety_no_different,10
mort_better,10
mort_no_different,10
facility_te_measures,11
facility_readm_measures,12
hospital_ownership,12
readm_no_different,13
all_star_rating_labels,26
county,140
city,452
affiliated_clinicians,512
zip_code,678
hospital_name,830
phone_number,830
address,834
scraped_at,835
profile_url,835
provider_id,835
